,NOC,Medal_sum,people,Fscore,gen_ave,enrollment,adolescent_fertility,Labor,Schooling_years,Primary_edu,Employment
404,HKG_2004,23,42,0.54761905,50.3818,NA,99.65636,44.18872,NA,48.06212,9.62
405,HKG_2006,3,3,1,50.53627,NA,99.68512,45.23731,NA,47.97763,9.245
406,HKG_2008,25,47,0.53191489,50.53896,NA,99.69918,46.37879,NA,47.84286,8.235
407,HKG_2010,3,3,1,50.4868,NA,99.69854,46.72324,NA,47.86042,7.665
408,HKG_2012,38,55,0.69090909,52.82318,98.91941,99.6979,47.78419,15.48624,47.91636,7.135
409,HKG_2016,30,47,0.63829787,52.84834,97.3695,99.72318,48.81678,16.3225,47.9031,6.955
410,HUN_1992,445,413,1.07748184,41.55537,NA,96.3463,45.45109,11.23532,48.70412,6.04
411,HUN_1994,20,28,0.71428571,41.61335,NA,96.78414,44.85727,12.41589,48.55945,5.45
412,HUN_1996,350,315,1.11111111,47.53957,77.3068,97.22198,43.70069,12.82016,48.48276,5.705
413,HUN_1998,14,24,0.58333333,51.48379,96.12332,97.53236,44.32485,13.66982,48.47236,8.78
414,HUN_2000,579,238,2.43277311,52.83196,96.68444,97.71528,44.60691,14.46217,48.43796,15.085
415,HUN_2002,20,46,0.43478261,53.32931,97.23796,97.8982,44.86541,15.22504,48.44925,16.3
416,HUN_2004,382,258,1.48062016,53.56697,95.63888,97.95716,45.28331,15.37887,48.44361,18.7
417,HUN_2006,14,32,0.4375,53.52392,96.96322,98.01612,45.50367,15.82287,48.28764,16.55
418,HUN_2008,246,216,1.13888889,53.27226,97.08782,98.03018,45.4543,15.75295,48.31831,14.99
419,HUN_2010,21,32,0.65625,53.82418,97.71169,97.99934,46.14721,15.64893,48.41289,17.025
420,HUN_2012,318,201,1.58208955,53.37629,96.57246,97.9685,46.2027,15.55308,48.411,15.55
421,HUN_2014,22,37,0.59459459,53.28817,96.40835,97.99398,45.85362,15.81027,48.4128,15.25
422,HUN_2016,446,204,2.18627451,53.41644,96.98892,98.01946,45.67381,15.39474,48.62169,15.8
423,IND_1992,7,65,0.10769231,41.01223,NA,90.6024,28.1051,NA,41.70143,3.64
424,IND_1996,9,54,0.16666667,34.50547,NA,91.97216,28.24328,6.94578,43.17114,2.195
425,IND_2000,32,70,0.45714286,41.77442,76.65289,93.3163,27.88836,7.25667,43.57728,1.955
426,IND_2004,30,81,0.37037037,41.81684,NA,94.6081,29.14241,NA,NA,1.7
427,IND_2006,2,5,0.4,41.9671,NA,95.2321,28.57421,NA,NA,2.095
428,IND_2008,29,67,0.43283582,54.03282,97.65325,95.82766,26.80581,NA,47.59237,2.285
429,IND_2012,47,95,0.49473684,53.84741,97.71529,96.9619,24.09779,NA,48.06707,2.395
430,IND_2016,90,130,0.69230769,37.76587,NA,97.54646,24.69325,12.8747,51.11492,2.6
431,IRL_1992,15,81,0.18518519,49.15674,87.30382,98.4002,35.65462,12.4612,48.7056,12.415
432,IRL_1996,118,99,1.19191919,49.85504,88.27832,98.16004,38.54726,13.3892,48.6354,12.12
433,IRL_2000,50,76,0.65789474,43.56692,NA,98.09988,40.70092,16.89514,48.49368,13.645
434,IRL_2002,2,9,0.22222222,43.57294,NA,98.0998,41.50763,17.39764,48.53962,12.32
435,IRL_2004,18,55,0.32727273,43.87885,NA,98.20956,41.59275,17.75722,48.47973,13.355
436,IRL_2006,2,5,0.4,43.62318,NA,98.31932,42.40728,17.83907,48.48523,11.065
437,IRL_2008,19,63,0.3015873,44.04406,NA,98.4588,43.20997,18.10167,48.74487,11.705
438,IRL_2010,4,7,0.57142857,53.64654,99.98936,98.628,44.07171,18.57918,48.81102,11.8
439,IRL_2012,63,76,0.82894737,53.64259,99.81672,98.7972,44.35815,18.5376,48.82589,11.52
440,IRL_2014,2,8,0.25,53.69235,99.61701,98.89184,44.45772,19.18841,48.76909,11.23
441,IRL_2016,50,93,0.53763441,51.16027,NA,98.98648,44.86292,NA,48.7217,12.07
442,IRQ_2000,2,4,0.5,42.0213,82.05639,93.44718,12.62686,7.43023,43.98716,12.58
443,IRQ_2004,1,24,0.04166667,41.75656,86.69343,92.90202,16.48836,8.74165,44.3039,1.41
444,IRQ_2008,1,4,0.25,39.87258,NA,92.1549,19.22783,NA,NA,8.235
445,IRQ_2012,3,8,0.375,39.51401,NA,92.1549,19.73213,NA,NA,6.655
446,ISL_1992,7,46,0.15217391,53.71399,NA,97.4499,45.81208,NA,NA,17.88
447,ISL_1994,3,14,0.21428571,54.35335,97.32543,97.52918,46.75731,15.92055,48.77762,19.81
448,ISL_1996,4,15,0.26666667,54.60067,98.44095,97.60846,46.28031,16.15689,48.87239,20.245
449,ISL_1998,6,12,0.5,54.3958,99.19494,97.77348,46.37637,17.24426,48.55075,17.235
450,ISL_2000,21,29,0.72413793,46.40562,NA,98.02424,47.28576,17.84237,48.30573,20.57
451,ISL_2002,5,12,0.41666667,44.88949,NA,98.275,46.93373,18.58866,48.56507,12.085
452,ISL_2004,6,34,0.17647059,53.55862,95.4928,98.393,46.92125,19.0307,48.35399,13.16
453,ISL_2006,4,12,0.33333333,53.74891,96.88257,98.511,46.70489,19.47242,48.62759,12.295
454,ISL_2008,9,31,0.29032258,54.26718,99.60035,98.6688,46.51053,19.70008,49.09334,12.03
455,ISL_2010,2,7,0.28571429,54.32995,99.58291,98.8664,46.95906,19.76332,49.28301,11.525
456,ISL_2012,12,36,0.33333333,54.32646,98.45287,99.064,47.52754,19.93921,49.35516,11.62
457,ISL_2014,5,11,0.45454545,53.57785,97.7809,99.1662,47.29704,20.82859,48.89937,7.495
458,ISL_2016,10,14,0.71428571,52.36607,NA,99.2684,47.0998,NA,NA,10.73
459,ISR_1992,28,44,0.63636364,48.60267,NA,98.0658,41.06516,NA,48.93973,6.34
460,ISR_1996,10,38,0.26315789,49.08875,NA,98.20092,42.99533,NA,NA,6.07
461,ISR_1998,1,3,0.33333333,49.4432,NA,98.26672,43.59289,NA,NA,6.47
462,ISR_2000,13,58,0.22413793,52.02199,97.6351,98.33076,44.79488,15.54962,48.5516,7.27
463,ISR_2002,5,7,0.71428571,52.35584,98.07495,98.3948,45.19726,16.42763,48.66538,7.375
464,ISR_2004,19,46,0.41304348,52.65731,97.91503,98.47536,45.73675,16.17607,48.72566,8.915
465,ISR_2006,2,6,0.33333333,52.38095,97.53128,98.55592,45.85685,15.99395,48.86269,7.485
466,ISR_2008,25,60,0.41666667,52.6234,97.68406,98.6461,45.81142,16.01223,48.82157,8.765
467,ISR_2010,1,4,0.25,59.88728,97.771,98.7459,46.43188,NA,48.78763,7.7
468,ISR_2012,23,56,0.41071429,52.83785,97.98551,98.8457,46.73223,16.43258,48.8111,8.22
469,ISR_2014,1,6,0.16666667,52.70229,97.36097,98.93878,47.05312,16.48955,48.77132,7.6
470,ISR_2016,40,59,0.6779661,52.70659,97.61392,99.03186,47.17704,16.51403,48.8577,7.045
471,ITA_1992,473,611,0.77414075,47.82104,NA,99.2257,36.27071,13.23881,48.59999,41.77
472,ITA_1994,278,193,1.44041451,47.59506,NA,99.2783,36.4976,14.10576,49.56363,38.53
473,ITA_1996,459,460,0.99782609,56.48091,97.73163,99.3309,37.19443,14.36345,48.32003,41.945
474,ITA_1998,162,179,0.90502793,47.74161,NA,99.3458,37.72695,15.01838,48.32691,38.29
475,ITA_2000,457,457,1,57.17551,99.72155,99.323,38.50619,15.02818,48.62412,41.85
476,ITA_2002,251,198,1.26767677,56.55156,99.45896,99.3002,39.1681,15.61221,48.1449,37.625
477,ITA_2004,784,474,1.65400844,54.06735,99.17955,99.30388,39.98388,16.18676,48.44501,21.305
478,ITA_2006,207,290,0.7137931,53.85959,98.73757,99.30756,40.20042,16.59141,48.31557,20.005
479,ITA_2008,419,459,0.91285403,53.83565,98.53774,99.3199,40.67746,16.79011,48.32371,19.365
480,ITA_2010,89,208,0.42788462,53.74421,98.83545,99.3409,40.8638,16.84064,48.38446,18.2
481,ITA_2012,444,382,1.16230366,54.08329,98.95208,99.3619,41.68474,16.93032,48.38069,19.19
482,ITA_2014,187,227,0.82378855,54.06343,99.06534,99.37314,42.07712,16.65073,48.40925,18.805
483,ITA_2016,613,399,1.53634085,53.84312,NA,99.38438,41.97497,NA,NA,20.17
484,JAM_1992,71,59,1.20338983,46.39433,NA,90.2345,45.15848,NA,NA,3.79
485,JAM_1996,153,69,2.2173913,47.54427,NA,90.5461,44.6067,NA,NA,7.48
486,JAM_2000,320,65,4.92307692,49.20076,92.94581,91.21074,42.61636,11.06797,49.17867,8.185
487,JAM_2004,263,62,4.24193548,57.08534,92.83075,92.00002,43.06176,NA,48.93415,8.6
488,JAM_2008,234,66,3.54545455,48.90592,NA,92.86268,43.23219,NA,48.8638,10.665
489,JAM_2012,249,62,4.01612903,49.34356,NA,93.9246,42.92942,NA,49.04523,11.475
490,JAM_2016,347,77,4.50649351,49.37949,NA,94.56436,43.0914,NA,48.76222,11.1
491,JOR_1992,1,5,0.2,34.98653,NA,95.185,12.93207,11.86284,48.64272,6.31
